"PSY_ORD_NO","CLASS_CODE","USE_YN","REG_MEMBER_NO","REG_DATE"
P2507041007510da4ac5,AC0001202530101AF,Y,M10000001,"2025-07-07 00:15:37"
P2507041007510da4ac5,AC00012025302AC6F,Y,M10000001,"2025-07-09 04:55:57"
P2507041029560e3a263,M1000000120253017C9D,Y,M10000001,"2025-07-04 01:29:56"
P2507070211334306775,AC037820254054C87,Y,M10000006,"2025-07-21 15:26:14"
P25070801344605f162e,AC00332025301B2C8,Y,M10000015,"2025-07-08 01:46:58"
P25070801344605f162e,AC00332025402E7A5,Y,M10000015,"2025-07-08 01:47:05"
P25070801344605f162e,AC0033202550318CD,Y,M10000015,"2025-07-08 01:47:13"
P250708043436e55f5e5,AC000120256016589,Y,M10000001,"2025-07-08 04:34:51"
P250711013151b0446cd,M1000005520256019C95,Y,M10000055,"2025-07-11 01:31:51"
P250712110421adf8570,DC01482025502C6C0,N,M10000061,"2025-07-16 15:57:25"
P250713225725e522cbf,M1000006320255020B29,Y,M10000063,"2025-07-14 07:57:25"
P25071401593573be29c,M100000642025301E27F,Y,M10000064,"2025-07-14 10:59:35"
P2507150043264c9256b,AC000120255019FA1,Y,M10000001,"2025-07-18 11:34:56"
P250716000635f1221b6,M100000682025602CF1C,Y,M10000068,"2025-07-16 09:06:35"
P250716000639e95782b,M100000692025301F737,Y,M10000069,"2025-07-16 09:06:39"
P250716001506d9151c6,M1000007020254026414,Y,M10000070,"2025-07-16 09:15:06"
P25071600161434e2753,M1000007120255028D7A,Y,M10000071,"2025-07-16 09:16:14"
P2507160019222eeb94f,M1000007220254035C68,Y,M10000072,"2025-07-16 09:19:22"
P250716004407ca94033,M100000732025501D3CA,Y,M10000073,"2025-07-16 09:44:07"
P2507160157311002cef,AC000120256042D2E,Y,M10000001,"2025-07-16 10:57:45"
P2507161155047202433,AC00012025302AC6F,Y,M10000001,"2025-07-24 11:53:57"
P2507161155047202433,AC00012025303B7A5,Y,M10000001,"2025-07-24 11:53:57"
P2507161459455f09692,AC00012026301C1F6,Y,M10000001,"2025-07-16 15:26:50"
P250716150248550e5bb,AC000120254019B81,Y,M10000001,"2025-07-16 15:04:17"
P250717165519cd60626,AC043020255054C28,Y,M10000057,"2025-07-17 16:55:23"
P250721105724aff94b0,M10000086202560261A9,Y,M10000086,"2025-07-21 10:57:24"
P2507211124060e80787,M1000008720256056A20,Y,M10000087,"2025-07-21 11:24:06"
P250721113552362483e,M1000008820256034F56,Y,M10000088,"2025-07-21 11:35:52"
P250721143431ed6548b,TC0461202560248A7,Y,M10000077,"2025-07-21 14:35:23"
P250721143431ed6548b,TC04612025603AB35,Y,M10000077,"2025-07-21 14:35:23"
P250721143431ed6548b,TC04612025605987B,Y,M10000077,"2025-07-21 14:35:23"
P250721143431ed6548b,TC046120256076567,Y,M10000077,"2025-07-21 14:35:23"
P2507220852476ba2c98,M1000008920256022156,Y,M10000089,"2025-07-22 08:52:47"
P250722105604d07015e,M10000091202560142A0,Y,M10000091,"2025-07-22 10:56:04"
P2507221330167c40d26,M100000902025602F30D,Y,M10000090,"2025-07-22 13:30:16"
P250722153002f847fca,M10000092202530442E7,Y,M10000092,"2025-07-22 15:30:02"
P250722155601f3bab29,M100000932025602D4F3,Y,M10000093,"2025-07-22 15:56:01"
P25072410495916e77a8,AC00012025610D8A4,Y,M10000001,"2025-07-24 10:50:45"
P2507241118583c2bb3d,M100000072025301BC81,Y,M10000007,"2025-07-24 11:18:59"
P250724112622a0b2acf,M10000007202550150E7,Y,M10000007,"2025-07-24 11:26:23"
P250730161135269f898,AC000120254019B81,Y,M10000001,"2025-07-30 16:11:35"
P250730161135269f898,AC00012026301C1F6,Y,M10000001,"2025-07-30 16:11:35"
P250730161330009fa01,AC0001202530101AF,Y,M10000001,"2025-07-30 16:13:30"
P250730161330009fa01,AC000120254019B81,Y,M10000001,"2025-07-30 16:13:30"
P250730161330009fa01,AC000120255019FA1,Y,M10000001,"2025-07-30 16:13:30"
P250730161330009fa01,AC000120256016589,Y,M10000001,"2025-07-30 16:13:30"
P2507301640160aa6841,AC000120256039834,Y,M10000001,"2025-07-30 16:40:15"
P2507301640160aa6841,AC00012025610D8A4,Y,M10000001,"2025-07-30 16:40:15"
