"CLASS_CODE","SCHOOL_CODE","MEMBER_NO","MEMBER_NAME","MEMBER_CELLPHONE_NUM","CLASS_NAME","SCHOOL_DATE","SCHOOL_GRADE","SCHOOL_NUM","USE_YN","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
AC000120251018666,AC0001,M10000172,"0F31F4AAAA4E69695310029FA126E0B1",D409819627E9372CB4EE0FA5E713547B,우리반,"2025","1","1",Y,멋진아이들과 이쁜 아이들이 많아요,M10000001,"2025-08-05 15:37:40",M10000001,"2025-09-23 17:18:07"
AC00012025105CF61,AC0001,M10000001,,,"","2025","1","5",Y,,M10000001,"2025-08-06 17:45:11",M10000001,"2025-09-23 13:25:47"
AC0001202530101AF,AC0001,M10000001,,,우리또래반,"2025","3","1",Y,우리반은 잘 났어요.,M10000001,"2025-07-07 00:15:23",M10000001,"2025-09-23 13:25:47"
AC00012025302AC6F,AC0001,M10000007,,,"3학년2반","2025","3","2",Y,특이사항 란에는 150자까지 등록이 가능합니다. 특이사항 란에는 150자까지 등록이 가능합니다. 특이사항 란에는 150자까지 등록이 가능합니다. 특이사항 란에는 150자까지 등록이 가능합니다. 특이사항 란에는 150자까지 등록이 가능합니다. 특이사항 란에는 150자까지,M10000001,"2025-07-08 05:24:32",M10000001,"2025-09-23 13:25:45"
AC00012025303B7A5,AC0001,M10000009,,,"3학년3반","2025","3","3",Y,,M10000001,"2025-07-17 11:43:38",M10000001,"2025-09-23 13:25:44"
AC00012025401F67B,AC0001,M10000001,CF3E76E10CC3B1573E0F66425FEACD70,"4FE21A8221C3B2F4DA8025DDCCC1F380","","2025","4","1",Y,,M10000001,"2025-08-20 15:55:38",M10000001,"2025-08-21 15:04:47"
AC000120254041DD8,AC0001,M10000001,E8F615DF372DC9D9E5E2C827518A81DE,D409819627E9372CB4EE0FA5E713547B,"","2025","4","4",Y,종단리포트 검수용,M10000001,"2025-09-26 11:42:34",M10000001,"2025-09-29 13:31:48"
AC000120255019FA1,AC0001,M10000001,,,"5학년1반","2025","5","1",Y,전부 검사 실시 후에 특정 학생 비활처리 검수,M10000007,"2025-07-08 01:41:05",M10000001,"2025-07-18 11:44:05"
AC000120256016589,AC0001,M10000001,,,"6학년1반","2025","6","1",Y,,M10000001,"2025-07-08 04:29:00",M10000001,"2025-08-21 15:05:00"
AC0001202560287EC,AC0001,M10000001,,,"6학년2반","2025","6","2",Y,,M10000001,"2025-07-08 04:29:00",,
AC000120256042D2E,AC0001,M10000001,,,우리 또래 반,"2025","6","4",Y,우리 또래반 화이팅~!,M10000001,"2025-07-08 04:29:00",M10000001,"2025-07-24 17:10:45"
AC00012025610F924,AC0001,M10000009,CD4FF7AAC39992CB435F7C630BA9CFFC,"1A18804C723B69CE2DBF28A45FCF1BFB","","2025","6","10",Y,"동아교육 테스트
",M10000001,"2025-09-24 09:29:51",,
AC00012026301C1F6,AC0001,M10000001,,,"3학년1반","2026","3","1",Y,,M10000001,"2025-07-08 05:20:09",,
AC035020252044A96,AC0350,"","5323308E9D7A1DB134F7117081871356","22F439007CF98AA68BBC965A3AB75BF8","","2025","2","4",Y,,M10000214,"2025-09-26 11:58:33",,
AC035020255017E04,AC0350,M10000219,"2596908C2A84A947B81B5D25CF460561","305C68D85C52E1FF581D2F01C1B42DD7","","2025","5","1",Y,,M10000214,"2025-09-26 11:52:49",,
AC03502025502AE32,AC0350,"",F74124D87D4EF8CC92774B9326DF2588,"6B6B25FD4ED1223BA1583EA939C8A6E4","","2025","5","2",Y,,M10000214,"2025-09-26 11:52:49",,
AC035020255032C62,AC0350,M10000228,FD968A42D68F607FD54B8D1C5FD7C715,"63F6F56E75CD5839D3756222CAA73A65","","2025","5","3",Y,,M10000214,"2025-09-26 11:52:49",,
AC035020255040D0F,AC0350,M10000214,C8E712B52D02610EB0A615569CD3A01A,"0D4557C46969ABDF5E64CA1D42E0B0A5","","2025","5","4",Y,,M10000214,"2025-09-26 11:52:49",,
AC03502025505D936,AC0350,M10000226,"5EF4D0902E53221663878986C9F3075B","1DC66B868973496406C9DE07772A3777","","2025","5","5",Y,,M10000214,"2025-09-26 11:52:49",,
AC0350202550646AA,AC0350,M10000221,"90E3A3180589313BB781E2A3997C423F",E0F096E7034862737AEB32224D322F89,"","2025","5","6",Y,,M10000214,"2025-09-26 11:52:49",,
AC0350202550713B4,AC0350,M10000220,"285D268BB00F3900F4023C7EB87768EF","999247E85FDDBA0379B55DBFE423DFBD","","2025","5","7",Y,,M10000214,"2025-09-26 11:52:49",,
AC035020255087B79,AC0350,M10000225,E6A28BEAD78CCD1453F7916CCF4E06BB,"3C23F2D8C04F85AFEFE148029B40C6BC","","2025","5","8",Y,,M10000214,"2025-09-26 11:52:49",,
DC014820253012817,DC0148,M10000062,,,"3학년1반","2025","3","1",Y,,M10000061,"2025-07-16 15:18:19",,
DC01482025502C6C0,DC0148,M10000063,,,"5학년2반","2025","5","2",Y,,M10000061,"2025-07-16 15:27:53",,
DC014820256013025,DC0148,M10000061,,,"6학년1반","2025","6","1",Y,,M10000061,"2025-07-16 15:25:00",,
DC017620255014BE0,DC0176,M10000175,D4E367FF2DCED0527E84D62DD6657597,"282A76ED817523419C967B72D5D5333D","","2025","5","1",Y,,M10000175,"2025-09-10 09:57:54",,
DC03142025405A6D9,DC0314,M10000199,CAA1163B3933BE2B2C34560AE449F11E,E2B45CB19E6C529756F80148E6668719,"","2025","4","5",Y,,M10000197,"2025-09-23 14:16:54",,
DC03142025601168B,DC0314,M10000202,"1F587BC9C0407D2C5E276BB7B172ACB5","0123A29B5B6521BFD9414B7A8E8957A0","","2025","6","1",Y,,M10000197,"2025-09-23 14:38:02",,
DC03142025602FCDA,DC0314,M10000201,"9958D3206FD1BFE83FA26B0C4A3DE1B6",CDFEA131DF4E6C7225DE843564A3E266,"","2025","6","2",Y,,M10000197,"2025-09-23 14:38:19",,
DC03142025603682B,DC0314,M10000205,"291DCC2519C83B980F063010DE882E1C",C154A98EBAE6124D196A522C19BCE344,"","2025","6","3",Y,,M10000197,"2025-09-23 14:40:47",,
DC03142025604BED2,DC0314,M10000203,"86F0FD332E86C44F51870960C3005483","74B4290EB60CEDB0E04298099206346A","","2025","6","4",Y,,M10000197,"2025-09-23 14:38:33",,
DC03142025605636F,DC0314,M10000204,"66C15BD0D49D5F89BA1BE44DEF86C12A",AC825339B33634004D33BBB70068B160,"","2025","6","5",Y,,M10000197,"2025-09-23 14:39:43",,
DC03142025606A123,DC0314,M10000200,DF2434A371878228361B890A8EA99139,"497E0EC3FC0F4D352975D94EF0A2CA15","","2025","6","6",Y,,M10000197,"2025-09-23 14:50:58",,
EC00432025402A6C8,EC0043,M10000223,C397055124687DF369D78EC487866F92,"8F2A41021C988A60BFE6E5E720559CBB","","2025","4","2",Y,,M10000207,"2025-09-30 08:48:05",,
LC0414202540197A1,LC0414,M10000074,,,"4학년1반","2025","4","1",Y,,M10000085,"2025-07-21 14:38:47",,
LC0414202540217FF,LC0414,M10000070,,,"4학년2반","2025","4","2",Y,,M10000085,"2025-07-21 14:39:06",,
LC04142025502AF7A,LC0414,M10000071,,,"5학년2반","2025","5","2",Y,,M10000085,"2025-07-21 14:39:28",,
LC10692025301F0BA,LC1069,"",E7B8B51ADEBFC6B1D7127BF2B3554A8C,"03368739F5269AE39F608B2B5C589401","","2025","3","1",Y,,M10000186,"2025-09-25 15:20:24",,
LC10692025302D05D,LC1069,"","8BA18D393D9068350A161892E41D3BD6","80D8E543F0A705BC9228748A43297F16","","2025","3","2",Y,,M10000186,"2025-09-25 15:20:24",,
LC106920253034714,LC1069,"","0386C64152AD6C0413F14D96EFB9FD4C","384F0D4D2201516B8AC6F4EDC2207BCE","","2025","3","3",Y,,M10000186,"2025-09-25 15:20:24",,
LC1069202540118CF,LC1069,"",BD571DB0C6F482B3197E669BC57DBAE4,"8E8921C5CC72979B3B89D4B92DEF7AE9","","2025","4","1",Y,,M10000186,"2025-09-25 15:20:24",,
