"SCHOOL_CODE","SCHOOL_TYPE_CD","SCHOOL_NAME","SCHOOL_SIDO","SCHOOL_TELEPHONE","SCHOOL_TASK"
AC0001,C,학지초등학교,서울,"0212341234",총괄책임
AC0002,C,서울개원초등학교,서울,"0248354564",교사
AC0004,C,서울개포초등학교,서울,,
AC0020,C,서울신구초등학교,서울,,
AC0033,C,서울강동초등학교,서울,,
AC0046,C,서울상일초등학교,서울특별시 강동구 천호대로 1477,,
AC0166,C,서울신구로초등학교,서울특별시 구로구 가마산로27길 69,"07077769634",수석연구원
AC0280,C,서울강남초등학교,서울,,
AC0302,C,서울마포초등학교,서울,,
AC0350,C,서울서이초등학교,서울특별시 서초구 서운로 35,"0234747021",방송
AC0371,C,서울마장초등학교,서울특별시 성동구 마장로35나길 31,"02000000000",학생부장
AC0378,C,서울용답초등학교,서울,"01000000000","000"
AC0380,C,서울행당초등학교,서울특별시 성동구 고산자로8길 6,"",""
AC0430,C,서울송파초등학교,서울,,
AC0450,C,서울강서초등학교,서울,"0212341234",책임교사
AC0461,C,서울신기초등학교,서울특별시 양천구 신정로 292,"",""
AC0539,C,서울은평초등학교,서울특별시 은평구 은평로 239,"0223235656",교장
AC0585,C,서울봉화초등학교,서울특별시 중랑구 신내로15길 110,"0200000000",총괄책임
AC0590,C,서울원묵초등학교,서울특별시 중랑구 숙선옹주로 109,"0245614153",학생주임
AC0668,C,호치민시한국국제학교(초),"서울특별시 마포구 양화로15길 20 (서교동, 마인드빌딩)","",""
AC0695,C,서울강솔초등학교,"서울특별시 강동구 고덕로97길 80 (강일동, 서울강솔초등학교)","",""
AC0700,C,서울가재울초등학교 ,"서울특별시 서대문구 모래내로15길 61 (남가좌동, 서울가재울초등학교)","023608600","5학년"
AD0001,D,학지중학교,서울 마포구 ,"0245679656",ㅂㅈㄷ
AD0002,D,개원중학교,서울특별시 강남구 영동대로 101,"0204560486",이사장
AD0082,D,남서울중학교,서울특별시 관악구 남부순환로172길 97,"0245304053",교사
AD0156,D,북서울중학교,서울특별시 도봉구 도봉로169가길 33,"0204584863",교장
DC0056,C,대천초등학교,부산광역시 남구 조각공원로 19,"",""
DC0092,C,미남초등학교,부산광역시 동래구 충렬대로100번길 83,,
DC0100,C,예원초등학교,부산광역시 동래구 사직로 78,"0515000461","6학년 부장, 진로업무"
DC0148,C,백산초등학교,부산,,
DC0151,C,신금초등학교,부산광역시 북구 효열로 42,"0513306478",전문상담교사
DC0176,C,엄궁초등학교,부산광역시 사상구 엄궁로191번길 23,"0513206900",생활인성부장
DC0236,C,부산교육대학교부설초등학교,부산 연제구 교대로 24,,
DC0314,C,부산해빛초등학교,부산광역시 기장군 일광읍 해빛6로 9 (삼성리),"0517908300",학교폭력예방
DC0316,C,명일초등학교,"부산광역시 강서구 명지국제5로 170-5 (명지동, 명일초등학교)","",""
DC0319,C,부산명원초등학교,"부산광역시 강서구 명지국제6로 147 (명지동, 명원초등학교)","",""
EC0043,C,대구용전초등학교,대구광역시 달서구 용산로 260,"0532344058",Wee클래스
EC0129,C,대구대산초등학교,대구광역시 북구 신천동로 900,"",""
EC0208,C,경북대학교사범대학부설초등학교,대구,,
EC0221,C,대구비슬초등학교,대구 달성군 유가면,,
EC0222,C,대구대실초등학교,대구 달성군 다사읍 죽곡리,,
FC0025,C,인천계양초등학교,인천광역시 계양구 장제로 1288,"021112354",학생부장
FC0032,C,인천부현동초등학교,인천광역시 계양구 용종로 5,"0248611560",교장
FC0034,C,인천서운초등학교,인천광역시 계양구 서운로 12,"024537864",교사
FC0054,C,인천문학초등학교,인천광역시 남구 매소홀로 553,"07048614561",교사
FC0238,C,인천송원초등학교,인천광역시 연수구 송도과학로51번길 60,"",""
FC0246,C,현대제철인천어린이집,"인천광역시 동구 염전로 30 (송림동, 송림체육관)","",""
