psy_code,top5_mean,total_mean,weighted_mean,reg_date,purpose
P202507041AFF,17.2,17.2,3.2933333333333334,2025-09-08 10:35:52.951803,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507046A44,8.4,8.4,2.12,2025-09-08 10:35:52.958361,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-08 10:35:52.961630,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507074212,5.0,4.166666666666667,1.6,2025-09-08 10:35:52.969666,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507075FAD,3.5,3.5,1.4666666666666668,2025-09-08 10:35:52.975381,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507086502,6.0,6.0,1.8,2025-09-08 10:35:52.980898,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250708740B,70.0,36.2,5.0,2025-09-08 10:35:53.004976,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250708B5F0,2.6666666666666665,2.6666666666666665,1.3555555555555556,2025-09-08 10:35:53.009779,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025070901E3,2.5,2.5,1.3333333333333333,2025-09-08 10:35:53.014408,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507093825,2.6,2.6,1.3466666666666667,2025-09-08 10:35:53.021023,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-08 10:35:53.024039,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025070959FC,2.0,2.0,1.2666666666666666,2025-09-08 10:35:53.028285,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025070965A7,2.0,2.0,1.2666666666666666,2025-09-08 10:35:53.033044,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507098064,2.3333333333333335,2.3333333333333335,1.3111111111111111,2025-09-08 10:35:53.037892,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507102E70,1.5,1.5,1.2,2025-09-08 10:35:53.043712,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-08 10:35:53.047581,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507109373,7.0,7.0,1.9333333333333333,2025-09-08 10:35:53.054018,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507109627,0.5,0.5,1.0666666666666667,2025-09-08 10:35:53.063121,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250710DD9E,6.25,6.25,1.8333333333333335,2025-09-08 10:35:53.074817,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-08 10:35:53.078771,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250710E92D,3.0,3.0,1.4,2025-09-08 10:35:53.084641,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025071179A1,10.2,9.166666666666666,2.277333333333333,2025-09-08 10:35:53.093845,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250711832F,0.3333333333333333,0.3333333333333333,1.0444444444444445,2025-09-08 10:35:53.098604,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507118C5B,2.0,2.0,1.2666666666666666,2025-09-08 10:35:53.103845,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250711FD39,50.8,27.8,5.0,2025-09-08 10:35:53.115052,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507154E91,186.4,59.78260869565217,5.0,2025-09-08 10:35:53.138153,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-08 10:35:53.141185,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507169BCD,45.6,13.956521739130435,4.548521739130435,2025-09-08 10:35:53.164086,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250716BB5E,54.2,14.72,5.0,2025-09-08 10:35:53.188475,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250716BE86,1.0,0.25,1.0733333333333333,2025-09-08 10:35:53.207504,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507178C27,70.8,24.5,5.0,2025-09-08 10:35:53.229391,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507183B0A,27.8,11.571428571428571,3.4083809523809525,2025-09-08 10:35:53.249854,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250718B4BE,28.4,11.363636363636363,3.4237575757575756,2025-09-08 10:35:53.271344,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507213ACA,114.8,42.6,5.0,2025-09-08 10:35:53.291279,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507217086,59.0,20.956521739130434,5.0,2025-09-08 10:35:53.314043,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025072176E5,103.0,28.818181818181817,5.0,2025-09-08 10:35:53.335411,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250721C339,0.0,0.0,1.0,2025-09-08 10:35:53.338460,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025072289FD,91.6,27.434782608695652,5.0,2025-09-08 10:35:53.361398,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250722BAB6,69.2,31.6875,5.0,2025-09-08 10:35:53.378978,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250722D67F,95.4,29.238095238095237,5.0,2025-09-08 10:35:53.399659,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025072322B4,0.0,0.0,1.0,2025-09-08 10:35:53.403725,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025072408CB,50.8,18.952380952380953,5.0,2025-09-08 10:35:53.425525,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250724CD24,4.4,2.5555555555555554,1.439111111111111,2025-09-08 10:35:53.436259,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202508039384,0.3333333333333333,0.3333333333333333,1.0444444444444445,2025-09-08 10:35:53.441148,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250806E7E9,0.0,0.0,1.0,2025-09-08 10:35:53.444147,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025080762D7,0.0,0.0,1.0,2025-09-08 10:35:53.447815,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202508119E7D,3.8,3.8,1.5066666666666666,2025-09-08 10:35:53.454625,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025081356D5,2.6666666666666665,2.6666666666666665,1.3555555555555556,2025-09-08 10:35:53.459988,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507041AFF,17.2,17.2,3.2193548387096773,2025-09-08 10:35:53.469172,"""purpose=calibration;celling_parameter=31;author=Yumin"""
