psy_code,top5_mean,total_mean,weighted_mean,reg_date,purpose
P202507041AFF,8.8,8.8,2.1733333333333333,2025-09-09 17:15:07.801378,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507046A44,3.6,3.6,1.48,2025-09-09 17:15:07.807857,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-09 17:15:07.811216,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507074212,2.8,2.3333333333333335,1.336,2025-09-09 17:15:07.818969,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507075FAD,2.5,2.5,1.3333333333333333,2025-09-09 17:15:07.824680,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507086502,3.25,3.25,1.4333333333333333,2025-09-09 17:15:07.830573,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250708740B,43.0,20.0,4.893333333333333,2025-09-09 17:15:07.853991,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250708B5F0,2.0,2.0,1.2666666666666666,2025-09-09 17:15:07.858785,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025070901E3,1.0,1.0,1.1333333333333333,2025-09-09 17:15:07.862730,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507093825,3.4,3.4,1.4533333333333334,2025-09-09 17:15:07.869052,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-09 17:15:07.871970,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025070959FC,1.0,1.0,1.1333333333333333,2025-09-09 17:15:07.875992,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025070965A7,2.0,2.0,1.2666666666666666,2025-09-09 17:15:07.880644,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507098064,1.3333333333333333,1.3333333333333333,1.1777777777777778,2025-09-09 17:15:07.885690,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507102E70,0.75,0.75,1.1,2025-09-09 17:15:07.891329,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-09 17:15:07.895034,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507109373,3.6,3.6,1.48,2025-09-09 17:15:07.901647,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507109627,10.5,10.5,2.4,2025-09-09 17:15:07.908076,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250710DD9E,5.25,5.25,1.7,2025-09-09 17:15:07.913825,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-09 17:15:07.916835,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250710E92D,1.25,1.25,1.1666666666666667,2025-09-09 17:15:07.922908,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P2025071179A1,5.0,4.833333333333333,1.6533333333333333,2025-09-09 17:15:07.930246,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250711832F,0.3333333333333333,0.3333333333333333,1.0444444444444445,2025-09-09 17:15:07.935366,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507118C5B,0.6666666666666666,0.6666666666666666,1.0888888888888888,2025-09-09 17:15:07.940245,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250711FD39,20.2,12.2,3.0533333333333332,2025-09-09 17:15:07.950756,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507154E91,216.6,131.82608695652175,5.0,2025-09-09 17:15:07.972994,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-09 17:15:07.975971,"""purpose=calibration;celling_parameter=30;author=Yumin"""
P202507169BCD,187.6,84.56521739130434,5.0,2025-09-09 17:15:07.999474,"""purpose=calibration;celling_parameter=30;author=Yumin"""
