psy_code,top5_mean,total_mean,weighted_mean,weighted_mean_Normalization,reg_date,purpose
P202507041AFF,8.8,8.8,8.8,1.5253731343283583,2025-09-29 16:49:25.533618,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507046A44,3.6,3.6,3.6000000000000005,1.2149253731343284,2025-09-29 16:49:25.539839,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507070C5F,0.0,0.0,0.0,1.0,2025-09-29 16:49:25.542946,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507074212,2.8,2.3333333333333335,2.52,1.1504477611940298,2025-09-29 16:49:25.550228,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507075FAD,2.5,2.5,2.5,1.1492537313432836,2025-09-29 16:49:25.555819,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507086502,3.25,3.25,3.25,1.1940298507462686,2025-09-29 16:49:25.561457,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708740B,43.0,20.0,29.2,2.7432835820895525,2025-09-29 16:49:25.584887,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708B5F0,2.0,2.0,2.0,1.1194029850746268,2025-09-29 16:49:25.589536,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070901E3,1.0,1.0,1.0,1.0597014925373134,2025-09-29 16:49:25.593908,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507093825,3.4,3.4,3.4000000000000004,1.2029850746268658,2025-09-29 16:49:25.600261,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250709419F,0.0,0.0,0.0,1.0,2025-09-29 16:49:25.603258,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070959FC,1.0,1.0,1.0,1.0597014925373134,2025-09-29 16:49:25.607276,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070965A7,2.0,2.0,2.0,1.1194029850746268,2025-09-29 16:49:25.612067,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507098064,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0796019900497513,2025-09-29 16:49:25.616805,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507102E70,0.75,0.75,0.75,1.044776119402985,2025-09-29 16:49:25.622821,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507103119,0.0,0.0,0.0,1.0,2025-09-29 16:49:25.626985,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109373,3.6,3.6,3.6000000000000005,1.2149253731343284,2025-09-29 16:49:25.633404,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109627,10.5,10.5,10.5,1.626865671641791,2025-09-29 16:49:25.639229,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710DD9E,5.25,5.25,5.25,1.3134328358208955,2025-09-29 16:49:25.644951,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E2B5,0.0,0.0,0.0,1.0,2025-09-29 16:49:25.647982,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E92D,1.25,1.25,1.25,1.0746268656716418,2025-09-29 16:49:25.653896,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025071179A1,5.0,4.833333333333333,4.9,1.292537313432836,2025-09-29 16:49:25.661464,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711832F,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0199004975124377,2025-09-29 16:49:25.666178,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507118C5B,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0398009950248757,2025-09-29 16:49:25.670803,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711FD39,20.2,12.2,15.399999999999999,1.9194029850746268,2025-09-29 16:49:25.681969,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507154E91,216.6,131.82608695652175,165.73565217391305,5.0,2025-09-29 16:49:25.704700,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716280A,0.0,0.0,0.0,1.0,2025-09-29 16:49:25.707645,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507169BCD,187.6,84.56521739130434,125.77913043478262,5.0,2025-09-29 16:49:25.731268,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716BB5E,205.2,81.68,131.088,5.0,2025-09-29 16:49:25.756260,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716BE86,31.6,7.9,17.380000000000003,2.0376119402985076,2025-09-29 16:49:25.780284,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507178C27,194.4,84.18181818181819,128.26909090909092,5.0,2025-09-29 16:49:25.806131,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507183B0A,10.4,4.238095238095238,6.702857142857143,1.4001705756929637,2025-09-29 16:49:25.825272,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250718B4BE,10.8,4.2272727272727275,6.856363636363637,1.409335142469471,2025-09-29 16:49:25.845561,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507213ACA,125.2,63.6,88.24000000000001,5.0,2025-09-29 16:49:25.865622,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507217086,91.0,40.17391304347826,60.504347826086956,4.6121998702141465,2025-09-29 16:49:25.887157,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025072176E5,56.0,26.5,38.3,3.2865671641791043,2025-09-29 16:49:25.907681,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250721C339,0.0,0.0,0.0,1.0,2025-09-29 16:49:25.911480,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025072289FD,95.8,53.04347826086956,70.14608695652174,5.0,2025-09-29 16:49:25.933345,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250722BAB6,86.2,49.3125,64.0675,4.824925373134328,2025-09-29 16:49:25.949988,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250722D67F,132.0,57.0,87.0,5.0,2025-09-29 16:49:25.970831,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025072322B4,0.0,0.0,0.0,1.0,2025-09-29 16:49:25.974558,"""purpose=calibration;celling_parameter=67;author=Yumin"""
