psy_code,top5_mean,total_mean,weighted_mean,reg_date,purpose
P202507041AFF,35.2,35.2,3.101492537313433,2025-09-22 16:15:15.331684,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507046A44,14.4,14.4,1.8597014925373134,2025-09-22 16:15:15.338092,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507070C5F,0.0,0.0,1.0,2025-09-22 16:15:15.341299,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507074212,11.2,9.333333333333334,1.6017910447761194,2025-09-22 16:15:15.348735,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507075FAD,10.0,10.0,1.5970149253731343,2025-09-22 16:15:15.354915,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507086502,13.0,13.0,1.7761194029850746,2025-09-22 16:15:15.360361,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708740B,172.0,80.0,5.0,2025-09-22 16:15:15.385069,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250708B5F0,8.0,8.0,1.4776119402985075,2025-09-22 16:15:15.389795,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070901E3,4.0,4.0,1.2388059701492538,2025-09-22 16:15:15.394224,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507093825,13.6,13.6,1.8119402985074626,2025-09-22 16:15:15.401009,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250709419F,0.0,0.0,1.0,2025-09-22 16:15:15.404068,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070959FC,4.0,4.0,1.2388059701492538,2025-09-22 16:15:15.408031,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025070965A7,8.0,8.0,1.4776119402985075,2025-09-22 16:15:15.412865,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507098064,5.333333333333333,5.333333333333333,1.3184079601990049,2025-09-22 16:15:15.418110,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507102E70,3.0,3.0,1.1791044776119404,2025-09-22 16:15:15.423867,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507103119,0.0,0.0,1.0,2025-09-22 16:15:15.427831,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109373,14.4,14.4,1.8597014925373134,2025-09-22 16:15:15.434576,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507109627,42.0,42.0,3.5074626865671643,2025-09-22 16:15:15.440211,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710DD9E,21.0,21.0,2.253731343283582,2025-09-22 16:15:15.446848,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E2B5,0.0,0.0,1.0,2025-09-22 16:15:15.449922,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250710E92D,5.0,5.0,1.2985074626865671,2025-09-22 16:15:15.455483,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P2025071179A1,20.0,19.333333333333332,2.1701492537313434,2025-09-22 16:15:15.463926,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711832F,1.3333333333333333,1.3333333333333333,1.0796019900497513,2025-09-22 16:15:15.468560,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507118C5B,2.6666666666666665,2.6666666666666665,1.1592039800995024,2025-09-22 16:15:15.473310,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250711FD39,80.8,48.8,4.677611940298507,2025-09-22 16:15:15.484317,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P202507154E91,866.4,527.304347826087,5.0,2025-09-22 16:15:15.509549,"""purpose=calibration;celling_parameter=67;author=Yumin"""
P20250716280A,0.0,0.0,1.0,2025-09-22 16:15:15.512563,"""purpose=calibration;celling_parameter=67;author=Yumin"""
